Url,Title,Description,Offer minimal price,Currency,Image url 1,Image url 2,Image url 3,Image url 4,Image url 5
https://dewalt.store/?uniq=main,Официальный интернет-магазин инструментов DEWALT.,Летняя распродажа. С Dewalt от идеи до результата за один сезон! Скидки до 80%!,,,,,,,
https://dewalt.store/?uniq=instr,Оригинальные инструменты DEWALT. Официальная гарантия!,Летняя распродажа. С Dewalt от идеи до результата за один сезон! Скидки до 80%!,,,,,,,
https://dewalt.store/?uniq=msk,Оригинальные инструменты DEWALT по выгодным ценам в Москве,Летняя распродажа. С Dewalt от идеи до результата за один сезон! Скидки до 80%!,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/gaykoverty.html,Купить аккумуляторные бесщёточные гайковёрты DEWALT,Аккумуляторные гайковёрты DEWALT. Бесплатная доставка. Рассрочка 0%.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/shurupoverty/shopby/all_napryazhenie_accum-12.html,Аккумуляторные бесщёточные шуруповёрты DEWALT 12V,Аккумуляторные шуруповёрты DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/shurupoverty/shopby/all_napryazhenie_accum-18.html,Аккумуляторные бесщёточные шуруповёрты DEWALT 18V,Аккумуляторные шуруповёрты DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/shurupoverty/shopby/all_napryazhenie_accum-20.html,Аккумуляторные бесщёточные шуруповёрты DEWALT 20V,Аккумуляторные шуруповёрты DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/uglovye-shlifmashiny.html,Аккумуляторные болгарки DEWALT в официальном магазине,Аккумуляторные болгарки DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/uglovye-shlifmashiny/shopby/all_diametr_diska-125.html,Купить аккумуляторные болгарки DEWALT 125 мм,Угловые шлифмашины DEWALT. Бесплатная доставка. Рассрочка 0%. Официальная гарантия.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/uglovye-shlifmashiny/shopby/all_napryazhenie_accum-18.html,Аккумуляторные болгарки DEWALT 18V в фирменном магазине,Аккумуляторные болгарки DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/uglovye-shlifmashiny/shopby/all_regulirovka_oborotov-est.html,Аккумуляторные болгарки DEWALT с регулировкой оборотов,Аккумуляторные болгарки DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/sadovaya-tehnika/vozduhoduvy-sadovye-pylesosy.html,Аккумуляторные ветродуйки DEWALT в официальном магазине,Аккумуляторные ветродуйки DEWALT. Рассрочка 0%. Официальная гарантия.,,,,,,,
https://dewalt.store/sadovaya-tehnika/vozduhoduvy-sadovye-pylesosy.html?feed_id=10,Аккумуляторные воздуходувки DEWALT в официальном магазине,Аккумуляторные воздуходувы DEWALT. Рассрочка 0%. Официальная гарантия.,,,,,,,
https://dewalt.store/sadovaya-tehnika/vozduhoduvy-sadovye-pylesosy/shopby/all_napryazhenie_accum-18.html,Купить аккумуляторные воздуходувки DEWALT 18V,Аккумуляторные воздуходувы DEWALT. Рассрочка 0%. Официальная гарантия.,,,,,,,
https://dewalt.store/sadovaya-tehnika/vozduhoduvy-sadovye-pylesosy.html?feed_id=12,Аккумуляторные воздуходувы DEWALT в официальном магазине,Аккумуляторные воздуходувы DEWALT. Рассрочка 0%. Официальная гарантия.,,,,,,,
https://dewalt.store/sadovaya-tehnika/vysotorezy.html,Аккумуляторные высоторезы DEWALT в фирменном магазине,Аккумуляторные высоторезы DEWALT. Официальная гарантия. 100% оригинальные товары.,,,,,,,
https://dewalt.store/sadovaya-tehnika/gazonokosilki.html,Аккумуляторные газонокосилки DEWALT в фирменном магазине,Аккумуляторные газонокосилки DEWALT. 100% оригинальные товары. Бесплатная доставка.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/gaykoverty.html?feed_id=15,Аккумуляторные гайковёрты DEWALT в официальном магазине,Аккумуляторные гайковёрты DEWALT. Бесплатная доставка. Рассрочка 0%.,,,,,,,
https://dewalt.store/elektroinstrument/akkumulyatornyy-instrument/gaykoverty/shopby/all_napryazhenie_accum-18.html,Купить аккумуляторные гайковёрты DEWALT 18V,Аккумуляторные гайковёрты DEWALT. Бесплатная доставка. Рассрочка 0%.,,,,,,,
https://dewalt.store/elektroinstrument/sistema-18v-xr/gaykoverty.html,Купить аккумуляторные гайковёрты DEWALT 18V XR,Аккумуляторные гайковёрты DEWALT. Бесплатная доставка. Рассрочка 0%.,,,,,,,
